,Game,Release date,Company,Genres,Mean Note,Number of Vote,store
4732,Sky Gamblers: Storm Raiders,2012-11-29,,"Arcade, Indie, Simulator",4.5,1000,apple
4739,Pirates Outlaws,2019-03-05,,"Adventure, Indie, Role-playing (RPG), Strategy",4.4,1200,apple
4742,Rangers of Oblivion,2019-01-16,NetEase,Role-playing (RPG),4.5,517,apple
4744,Fortnite,2017-07-25,,Shooter,4.6,5,apple
4750,Fury Survivor: Pixel Z,2019-04-29,,"Hack and slash/Beat 'em up, Shooter",4.9,8000,apple
4756,Meow Wars: Card Battle,2018-08-08,,"Indie, Strategy",4.8,19,apple
4757,True Skate,2012-10-18,,"Simulator, Sport",3.8,3800,apple
4766,Sky Force Reloaded,2016-06-01,,"Arcade, Indie, Shooter",4.8,8500,apple
4770,Flop Rocket,2014-04-11,,Unknow,4.7,246,apple
4776,realMYST,2000-11-15,,"Adventure, Point-and-click, Puzzle",3.6,257,apple
4786,Motorsport Manager Mobile 3,2018-07-17,,"Racing, Simulator",4.9,4300,apple
4803,The Birdcage 2,2019-02-01,,Puzzle,4.8,8300,apple
4812,Swim Out,2017-08-10,,"Indie, Sport, Strategy",4.7,211,apple
4824,Vista Golf Rivals,2018-08-07,,Unknow,3.9,46,apple
4846,Goat Simulator,2014-04-01,,"Indie, Simulator",4.4,6900,apple
4849,Romantasia,2019-04-20,,Unknow,5.0,1,apple
4867,Bike Baron,2011-10-19,,Racing,4.4,166,apple
4870,Micro Vendor Adventures,2018-11-07,,Puzzle,4.4,15,apple
4871,Oddworld: New 'n' Tasty,2014-07-22,,"Adventure, Indie, Platform, Puzzle",4.8,822,apple
4879,Empires & Puzzles: RPG Quest,2017-03-02,,"Puzzle, Role-playing (RPG)",4.7,59400,apple
4894,Imperia Online,2005-08-23,,"Real Time Strategy (RTS), Simulator, Strategy",4.7,410,apple
4906,1979 Revolution: Black Friday,2016-04-05,,"Adventure, Indie",4.6,235,apple
4910,The Elder Scrolls: Blades,2019-03-28,,Role-playing (RPG),4.6,86300,apple
4914,Bloons TD Battles,2013-07-18,,Strategy,4.8,225700,apple
4923,Star Realms,2014-08-13,,"Strategy, Turn-based strategy (TBS)",4.6,2000,apple
4928,Equaland,2018-06-21,,Puzzle,5.0,11,apple
4935,Fallout Shelter,2015-06-14,,"Role-playing (RPG), Simulator, Strategy",4.7,30900,apple
4941,Plants Vs. Zombies: Heroes,2016-10-18,,"Adventure, Strategy, Turn-based strategy (TBS)",4.7,74100,apple
4949,Pocket Rogues: Ultimate,2017-01-01,,"Indie, Role-playing (RPG)",4.5,95,apple
4953,Near Orbit Vanguard Alliance,2009-12-17,,"Adventure, Shooter",4.6,3500,apple
4960,The Office Quest,2018-05-25,,"Adventure, Indie",4.2,2900,apple
4962,Hungry Shark World,2015-12-22,Ubisoft,Arcade,4.8,263100,apple
4965,Anodyne,2013-03-22,,"Adventure, Indie, Platform",3.4,20,apple
4970,Faraway 4,2018-11-28,,Puzzle,4.5,1300,apple
4977,A Magical High School Girl,2016-11-22,,"Adventure, Indie, Role-playing (RPG)",5.0,10,apple
4985,One More Button,2018-08-01,,Puzzle,5.0,1,apple
4988,Hexagon Dungeon,2017-04-22,,"Indie, Puzzle, Role-playing (RPG)",4.7,69,apple
4999,Warhammer Quest 2: The End Times,2017-10-18,,"Adventure, Role-playing (RPG), Strategy",4.5,1600,apple
5018,Forged Fantasy,2019-01-17,,Role-playing (RPG),4.6,573,apple
5025,Shaq Fu: A Legend Reborn,2018-06-05,,"Fighting, Hack and slash/Beat 'em up, Indie, Sport",4.6,1800,apple
5048,Trick Shot 2,2018-04-04,,"Indie, Puzzle",3.3,53,apple
5051,Shadow Bug,2017-07-21,,"Adventure, Indie, Platform",4.6,981,apple
5059,Lanterns: The Harvest Festival,2017-03-23,,Strategy,4.6,56,apple
5070,Final Fantasy XV: Pocket Edition,2018-02-08,Square Enix,"Adventure, Fighting, Hack and slash/Beat 'em up, Role-playing (RPG)",3.8,68,apple
5091,Will Hero,2018-03-07,,Arcade,4.7,106300,apple
5094,Radiation Island,2015-01-29,,"Adventure, Indie, Shooter, Simulator",4.2,518,apple
5095,Turbo Dismount,2014-05-21,,"Indie, Simulator",4.5,5400,apple
5097,Arena of Valor,2015-11-26,Tencent,"Real Time Strategy (RTS), Role-playing (RPG), Strategy",4.7,7300,apple
5108,Frog Souls,2017-12-11,,"Fighting, Indie",5.0,2,apple
5116,Sonic the Hedgehog 4: Episode I,2010-10-07,Sega,"Adventure, Arcade, Platform",3.5,424,apple
5128,Rome: Total War,2004-09-22,,"Real Time Strategy (RTS), Simulator, Strategy, Tactical, Turn-based strategy (TBS)",4.8,9800,apple
5149,Scribblenauts Remix,2011-10-12,Warner Bros,"Platform, Puzzle",3.6,2100,apple
5151,Quadropus Rampage,2013-06-06,,Unknow,4.9,321,apple
5153,"Bury me, my Love",2019-01-10,,"Adventure, Indie, Simulator",4.3,100,apple
5156,Dog Sled Saga,2016-09-22,,"Indie, Racing, Role-playing (RPG), Sport",4.4,233,apple
5157,Tiny Troopers 2: Special Ops,2013-03-28,,Shooter,4.7,1300,apple
5162,Terraria,2011-05-16,,"Adventure, Indie, Platform, Role-playing (RPG), Simulator, Strategy",4.4,37300,apple
5176,KingHunt,2012-05-13,,Unknow,4.3,1800,apple
5182,Grand Theft Auto III,2001-10-22,,"Adventure, Racing, Shooter, Simulator",4.5,5800,apple
5185,Bully: Anniversary Edition,2016-12-08,,Adventure,4.7,4600,apple
5197,Just Snowboarding,2017-01-25,,"Simulator, Sport",3.9,105,apple
5202,Six Ages: Ride like the Wind,2018-06-28,,"Adventure, Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS)",4.8,589,apple
5208,LEGO Jurassic World,2015-06-11,Warner Bros,"Adventure, Puzzle",4.2,2100,apple
5213,Talking Tom Hero Dash,2019-03-29,,"Arcade, Indie",4.5,3300,apple
5220,Punch Perfect,2018-11-28,,"Arcade, Fighting, Indie, Sport",5.0,33,apple
5236,Carnivores 2,1999-10-31,,"Shooter, Simulator, Sport",4.6,404,apple
5253,Frankenstein Master of Death,2015-01-26,,"Adventure, Indie, Point-and-click, Puzzle",3.5,6,apple
5268,Dracula 5: The Blood Legacy,2013-11-02,,"Adventure, Point-and-click, Puzzle",2.4,5,apple
5273,Heroes of Dire,2016-11-23,,"Adventure, Indie, Real Time Strategy (RTS), Role-playing (RPG), Strategy, Tactical",4.7,12,apple
5281,Final Fantasy XV: A New Empire,2017-03-31,,"Role-playing (RPG), Strategy",3.4,266,apple
5285,Final Fantasy VII,1997-01-31,Square Enix,"Adventure, Role-playing (RPG)",4.2,830,apple
5300,Looper!,2018-05-16,,"Indie, Music, Puzzle",4.6,241000,apple
5306,Florence,2018-02-13,,"Adventure, Indie, Puzzle",4.6,7200,apple
5307,Runewards,2018-02-13,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)",2.8,53,apple
5309,Brothers: A Tale of Two Sons,2013-08-07,,"Adventure, Indie, Puzzle",4.1,219,apple
5313,The Firm,2014-08-19,,Arcade,3.4,20,apple
5326,Mortal Kombat X,2015-04-07,Warner Bros,Fighting,4.6,112800,apple
5327,Idle Roller Coaster,2019-04-08,,"Simulator, Strategy",4.8,166500,apple
5329,Power Rangers: Legacy Wars,2017-03-23,,"Adventure, Fighting",4.1,9300,apple
5335,Kingdoms of Heckfire,2017-11-20,,"Real Time Strategy (RTS), Role-playing (RPG), Strategy",4.6,5700,apple
5343,Ember,2016-09-09,,"Adventure, Fighting, Indie, Puzzle, Role-playing (RPG), Strategy",4.1,177,apple
5349,Time Trap - Hidden Objects,2012-08-21,,"Adventure, Indie, Puzzle",4.7,164,apple
5354,Fastlane: Road to Revenge,2017-05-23,,Arcade,4.8,81100,apple
5355,PAKO 2,2017-04-21,,"Arcade, Racing, Simulator",4.0,421,apple
5358,Ultimate General: Gettysburg,2014-10-16,,"Indie, Real Time Strategy (RTS), Simulator, Strategy",4.6,1400,apple
5367,South Park: Phone Destroyer,2017-11-09,Ubisoft,"Real Time Strategy (RTS), Role-playing (RPG), Turn-based strategy (TBS)",4.6,1300,apple
5372,Traffic Rider,2015-12-26,,Racing,4.6,11400,apple
5376,Rusty Lake Hotel,2015-12-14,,"Adventure, Indie, Point-and-click, Puzzle",4.8,791,apple
5381,Holy Potatoes! A Weapon Shop?!,2015-07-13,,"Indie, Simulator",4.0,61,apple
5382,Steampunk Idle Spinner,2018-12-19,,Arcade,4.7,55,apple
5392,Plants vs. Zombies 2: It's About Time,2013-07-09,,"Adventure, Real Time Strategy (RTS), Strategy, Tactical",4.8,278100,apple
5394,TetroCrate,2012-06-12,,"Puzzle, Strategy, Tactical",4.2,55,apple
5412,Gravity Shots,2018-08-14,,Puzzle,4.6,8,apple
5420,Task Attack,2018-08-02,,"Indie, Shooter",4.6,72,apple
5423,Epic Skater 2,2018-07-24,,"Indie, Sport",4.6,217,apple
5435,Botanicula,2012-04-19,,"Adventure, Indie, Point-and-click, Puzzle",4.6,403,apple
5456,FRACTER,2018-07-12,,"Adventure, Indie, Puzzle",4.1,114,apple
5460,Ace of Seafood,2016-03-15,,"Adventure, Fighting, Indie, Shooter",4.6,13,apple
5489,Wordament,2012-04-25,Microsoft,Puzzle,4.4,775,apple
5524,Pigeon Pop,2018-02-15,,Arcade,4.7,8500,apple
5527,Riptide GP2,2013-07-23,,"Indie, Racing, Simulator, Sport",4.6,745,apple
5531,Gravity Hop: Space Adventure,2018-10-21,,Arcade,5.0,11,apple
5556,Lumino City,2014-12-03,,"Adventure, Indie, Point-and-click, Puzzle",4.7,1100,apple
5563,MechaNika,2015-05-27,,"Adventure, Indie",4.2,17,apple
5582,Never Alone,2014-11-18,,"Adventure, Indie, Platform, Puzzle",4.4,417,apple
5585,Bust-A-Move Journey,2017-01-01,,Puzzle,2.3,4,apple
5587,Sorcery!,2013-05-02,,Role-playing (RPG),4.3,119,apple
5594,Rapala Fishing - Daily Catch,2016-02-04,,Sport,4.6,7700,apple
5595,Armello,2015-01-22,,"Adventure, Indie, Quiz/Trivia, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.2,1600,apple
5607,Tiny Wings,2011-02-18,,Arcade,4.8,4100,apple
5612,The Horus Heresy: Drop Assault,2014-07-16,,Tactical,4.6,1400,apple
5624,Bridge Constructor,2012-05-23,,"Indie, Puzzle, Simulator, Strategy",4.5,677,apple
5638,World of Kings,2019-05-30,,"Adventure, Role-playing (RPG)",4.2,1500,apple
5639,Garena Free Fire,2017-12-04,,Adventure,4.1,66500,apple
5642,Octodad: Dadliest Catch,2014-01-30,,"Adventure, Indie, Platform, Simulator, Strategy",4.3,2300,apple
5674,Angry Birds Dream Blast,2019-01-24,,Unknow,4.7,107000,apple
5679,Crash of Cars,2017-03-22,,"Arcade, Indie, Racing, Shooter",4.6,8000,apple
5680,Radiation City,2017-08-23,,Adventure,4.4,723,apple
5685,Pulmonary,2017-03-13,,"Indie, Puzzle",3.0,2,apple
5692,OVERHIT,2017-11-28,Nexon,Role-playing (RPG),4.7,401,apple
5693,Sniper Strike: Special Ops,2017-11-27,,Arcade,4.7,112900,apple
5720,Vector,2012-08-28,,"Arcade, Indie, Music, Platform",4.4,174,apple
5723,Grand Prix Story,2019-03-21,,"Racing, Simulator, Strategy",4.7,21,apple
5745,Lost in Harmony,2016-01-20,,"Adventure, Arcade, Indie, Music",4.5,785,apple
5749,Hello Neighbor,2017-12-08,,"Adventure, Indie, Puzzle, Strategy",3.9,73300,apple
5756,Ruya,2018-03-11,,Indie,4.7,206,apple
5766,Wordscapes,2017-06-14,,Puzzle,4.9,542000,apple
5770,F1 2016,2016-08-19,,"Racing, Simulator, Sport",4.5,631,apple
5773,The Adventures of Bertram Fiddle: Episode 2 - A Bleaker Predicklement,2017-08-23,,"Adventure, Indie",3.4,41,apple
5799,Days of Prophecy,2019-05-01,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.5,354,apple
5809,Disney Heroes: Battle Mode,2018-01-01,,"Role-playing (RPG), Strategy",4.6,2600,apple
5819,Draw Something,2012-02-01,,Puzzle,4.6,4700,apple
5841,red,2018-01-17,,"Indie, Puzzle",4.7,186,apple
5848,VOEZ,2016-05-26,,Music,4.4,1200,apple
5857,red - the hardest IQ test for Android & iOS,2017-11-01,,"Arcade, Puzzle",5.0,3,apple
5858,Gobble Dash,2019-04-26,,"Arcade, Indie, Puzzle",4.6,25400,apple
5867,PickCrafter,2014-08-01,,"Role-playing (RPG), Simulator",4.8,5400,apple
5872,Gardenscapes,2012-06-12,,"Adventure, Puzzle, Simulator",4.5,362600,apple
5887,World of Goo,2008-10-13,,"Indie, Puzzle",4.5,361,apple
5889,Templar Battleforce,2015-09-21,,"Indie, Role-playing (RPG), Strategy, Turn-based strategy (TBS)",4.7,53,apple
5901,Badland,2013-04-04,,"Adventure, Arcade, Platform, Puzzle",4.7,986,apple
5911,I am Bread,2014-12-03,,"Adventure, Indie, Platform, Puzzle, Simulator",4.0,1000,apple
5920,Superbrothers: Sword & Sworcery EP,2011-03-24,,"Adventure, Indie, Point-and-click, Role-playing (RPG)",4.3,320,apple
5921,Temple Run,2011-08-04,,"Adventure, Arcade, Platform",4.4,153300,apple
5925,Mad Rocket: Fog of War,2018-10-30,,"Strategy, Tactical",4.5,91,apple
5936,Kitty Powers' Love Life,2018-02-08,,"Arcade, Indie, Simulator",3.8,221,apple
5938,Sky Ball,2018-03-04,,"Arcade, Indie",4.5,9000,apple
5947,Holy Potatoes! We're in Space?!,2017-02-14,,"Adventure, Indie, Simulator",4.1,58,apple
5955,The Elder Scrolls: Legends,2017-03-09,,"Strategy, Turn-based strategy (TBS)",4.2,852,apple
5957,Elemental Kingdom,2013-10-17,,Turn-based strategy (TBS),1.0,4,apple
5963,Euclidea,2014-10-29,,Puzzle,4.9,543,apple
5973,Darza's Dominion,2017-02-07,,"Role-playing (RPG), Shooter",3.8,474,apple
5978,Mimpi Dreams,2016-03-17,,"Adventure, Indie, Platform, Puzzle",4.7,1600,apple
5981,Air Combat Pilot: WW2 Pacific,2018-05-25,,"Arcade, Simulator",4.5,983,apple
5984,Pokémon GO,2016-07-06,,"Adventure, Fighting, Simulator, Strategy, Turn-based strategy (TBS)",3.7,24000,apple
5993,Mini Golf Game 3D,2010-12-17,,Sport,4.3,255,apple
5994,Ace Attorney Investigations: Miles Edgeworth,2009-05-28,,"Adventure, Point-and-click, Simulator",4.0,28,apple
6002,Cube Escape: The Cave,2017-03-01,,"Adventure, Puzzle",4.7,2100,apple
6011,The Banner Saga 2,2016-04-19,,"Adventure, Indie, Role-playing (RPG), Strategy, Tactical",4.7,477,apple
6015,Hero Emblems,2015-01-08,,"Adventure, Indie, Puzzle, Role-playing (RPG)",4.7,60,apple
6019,Game Dev Tycoon,2012-12-10,,"Indie, Simulator, Strategy",4.9,15700,apple
0,Crypts of Death,2019-02-11,,Role-playing (RPG),4.2,17,google
2,Haypi Monster 3,2014-01-03,,"Adventure, Role-playing (RPG)",4.3,54731,google
9,Mobile Legends: Bang Bang,2016-11-12,,"Adventure, Platform, Real Time Strategy (RTS), Strategy",4.1,18931826,google
18,Skies of Fury DX,2017-05-01,,"Adventure, Simulator",4.1,9406,google
23,Toxin The Game,2019-02-01,,"Arcade, Indie",4.4,7,google
36,Bottle Flip 3D,2018-12-20,,Platform,4.0,245566,google
38,Kawaii Home Design,2019-04-22,,Simulator,4.5,84358,google
39,Haunt the House: Terrortown,2013-01-09,,"Indie, Puzzle",4.6,4071,google
43,Totem Spirits,2017-10-25,,"Indie, Puzzle",4.8,24,google
44,Star Wars: Galaxy of Heroes,2015-11-24,ELECTRONIC ARTS,"Role-playing (RPG), Strategy, Tactical",4.3,1623670,google
46,Mindustry,2019-09-26,,"Indie, Puzzle, Strategy",4.5,45386,google
47,Quantic Pinball,2013-12-04,,Pinball,4.3,66,google
49,surviv.io,2017-10-11,,"Real Time Strategy (RTS), Strategy",3.5,25318,google
50,Anti Terrorist Rush 2,2019-03-14,,"Indie, Shooter",4.1,568,google
52,12 Labours of Hercules III: Girl Power,2015-08-07,,"Adventure, Puzzle, Strategy",4.3,622,google
57,Worms 2: Armageddon,2009-07-01,,Strategy,3.9,61769,google
63,Warhammer Age of Sigmar: Champions,2018-09-12,,Strategy,4.1,3991,google
69,Nun Attack: Run & Gun,2017-05-13,,"Platform, Shooter",4.4,141972,google
79,Take Off: The Flight Simulator,2017-06-09,,Simulator,3.4,1053,google
81,R-Type,1987-07-01,,"Arcade, Shooter",4.6,8383,google
90,Narrows,2016-01-01,,Adventure,4.6,28,google
92,Dawnbringer,2016-07-15,,Role-playing (RPG),4.0,17106,google
93,Blobbins 2048,2019-02-17,,Puzzle,4.9,69,google
95,Crowd City,2018-11-22,,Arcade,4.2,1270231,google
99,Harry Potter: Wizards Unite,2019-06-21,,"Role-playing (RPG), Simulator",4.0,291982,google
101,Might and Magic Heroes: Era of Chaos,2019-11-26,Ubisoft,Real Time Strategy (RTS),4.4,41279,google
106,ARK: Survival Evolved,2017-08-29,,"Adventure, Indie, Role-playing (RPG), Shooter",3.9,406773,google
113,Wild Bullets,2019-06-06,,"Adventure, Arcade, Indie, Shooter",4.2,134,google
121,N.O.V.A. Legacy,2017-04-04,,Shooter,4.1,1378612,google
124,Dungeon Tales: RPG Card Game,2019-06-13,,Role-playing (RPG),4.2,19551,google
136,12 Labours of Hercules II: The Cretan Bull,2015-06-05,,"Adventure, Puzzle, Strategy",3.9,250,google
141,Stardew Valley,2016-02-26,,"Indie, Role-playing (RPG), Simulator",4.7,45849,google
151,Désiré,2016-05-10,,"Adventure, Indie",4.4,31741,google
156,Marvel: Contest of Champions,2014-12-10,,Fighting,4.4,2960893,google
171,Turn It On!,2018-03-05,,Puzzle,4.5,250,google
173,Smashing the Battle,2016-05-15,,"Hack and slash/Beat 'em up, Indie",4.3,2947,google
174,Widget RPG,2015-03-11,,Role-playing (RPG),3.9,20292,google
184,FEIST,2015-07-23,,"Adventure, Indie, Platform",3.3,860,google
194,SuperTuxKart,2019-04-20,,"Arcade, Racing",4.3,2508,google
199,Splitter Critters,2017-01-26,,"Adventure, Indie, Platform, Puzzle",4.4,223,google
205,MARVEL Contest of Champions,2014-12-10,,Adventure,4.4,2960902,google
217,Vorn's Adventure,2018-06-04,,"Adventure, Indie",3.6,27,google
236,Grand Theft Auto: Vice City,2002-10-27,,"Adventure, Arcade, Racing, Shooter",4.2,147972,google
237,Cut the Rope: Time Travel,2013-04-18,,Puzzle,4.6,1095954,google
239,Air Force Gear,2017-12-25,,"Arcade, Shooter, Simulator",5.0,7,google
244,Exiled Kingdoms,2015-12-20,,"Adventure, Indie, Role-playing (RPG)",4.6,87303,google
251,Lara Croft: Relic Run,2015-05-28,Square Enix,"Adventure, Arcade",4.2,695644,google
257,Doom & Destiny,2011-08-25,,"Adventure, Indie, Role-playing (RPG)",4.8,20749,google
258,LongStory,2014-03-20,,"Adventure, Indie, Role-playing (RPG), Simulator",3.8,15023,google
260,Pokémon Rumble Rush,2019-05-15,,Hack and slash/Beat 'em up,3.9,57432,google
263,Dinosaur Discovery,2018-01-22,,"Indie, Puzzle",4.1,225,google
282,SpongeBob Bubble Party,2015-01-08,,"Arcade, Puzzle",3.9,4179,google
286,Ten-chan Party!,2018-08-09,,"Indie, Puzzle",4.8,294,google
291,Whispering Willows,2014-05-17,,"Adventure, Indie, Platform, Puzzle",4.6,1157,google
320,Valkyrie Profile: Lenneth,2006-03-02,Square Enix,Role-playing (RPG),4.3,662,google
326,Cube Escape: The Mill,2015-09-01,,"Adventure, Puzzle",4.8,27133,google
328,Fruit Ninja Classic,2010-04-20,,Arcade,4.1,87594,google
330,Hungry Black Hole,2017-04-03,,Puzzle,5.0,13,google
331,Mystic Messenger,2016-07-08,,Simulator,4.6,354246,google
334,Umiro,2018-03-29,,"Adventure, Indie, Puzzle, Strategy",4.2,133,google
338,Final Storm,2017-11-02,,"Arcade, Indie, Shooter",4.4,7,google
351,Dink Smallwood,1997-01-01,,Role-playing (RPG),4.3,913,google
367,"Warhammer 40,000: Regicide",2015-09-08,,"Indie, Puzzle, Strategy, Tactical, Turn-based strategy (TBS)",4.2,5291,google
368,Exa soldier Space shooter,2018-10-01,,Arcade,3.5,33,google
377,Breathless Bliss,2018-06-13,,Indie,3.8,271,google
378,Cut The Rope 2,2013-12-19,,"Arcade, Puzzle",4.6,2268144,google
382,Bladebound,2017-11-09,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.3,60232,google
394,Defend The Tower: Castle Defence Element,2018-08-01,,Strategy,4.2,378,google
396,Detective Conan Runner: Race for the Truth,2019-06-07,,Arcade,4.5,3768,google
404,Rig's Dream 3D,2017-03-23,,"Adventure, Indie, Role-playing (RPG)",4.8,95,google
408,The Room Two,2013-12-12,,"Adventure, Indie, Puzzle",4.9,214944,google
420,Nimian Legends: BrightRidge,2016-03-26,,"Adventure, Role-playing (RPG)",4.2,2051,google
426,Immortal Rogue,2019-02-20,,"Hack and slash/Beat 'em up, Indie",4.4,151,google
428,World Conqueror 4,2017-08-24,,"Simulator, Strategy",4.0,46854,google
432,The Inner World,2013-07-18,,"Adventure, Indie, Point-and-click",4.1,6623,google
443,Oily Man,2017-04-01,,"Arcade, Indie, Platform",4.5,84,google
448,Battle Disc,2019-06-19,,Strategy,4.3,421935,google
450,Flipping Legend,2017-06-14,,"Indie, Role-playing (RPG)",4.3,9683,google
456,Lineage 2: Revolution,2017-11-15,Netmarble,Adventure,3.7,239790,google
463,One Piece: Treasure Cruise,2014-05-12,Bandai Namco,"Adventure, Fighting, Role-playing (RPG)",4.5,628664,google
466,Nameless Cat,2020-04-12,,"Platform, Puzzle",4.4,213,google
470,The Horde for Android,2018-09-22,,"Arcade, Shooter",4.5,61,google
473,Stranger Things 3: The Game,2019-07-04,,"Adventure, Puzzle, Role-playing (RPG)",4.2,874,google
475,Sanitarium,1998-04-30,,"Adventure, Point-and-click, Puzzle",4.5,1198,google
476,Boulder Dash,1984-10-01,,"Arcade, Platform, Puzzle",4.5,9458,google
479,Brick Breaker Saga,2017-04-14,,"Arcade, Indie",4.8,12,google
484,Exiles,2014-12-17,,Role-playing (RPG),3.6,1639,google
486,Pocket Knights 2,2018-03-09,,Role-playing (RPG),4.3,25695,google
490,Path of Giants,2019-08-27,,"Adventure, Indie, Puzzle",4.9,88,google
492,Disgaea 1 Complete,2018-07-26,,"Role-playing (RPG), Strategy, Tactical, Turn-based strategy (TBS)",4.2,216,google
494,Mine Runner,2018-09-29,,Arcade,4.8,16,google
504,SimplePlanes,2014-12-10,,"Indie, Simulator",4.5,11805,google
508,Shadowverse,2016-06-17,,"Strategy, Turn-based strategy (TBS)",4.0,64618,google
512,RPS Saga,2017-03-07,,"Role-playing (RPG), Simulator",4.4,1773,google
520,Nihilumbra,2012-06-27,,"Adventure, Indie, Platform, Puzzle",4.4,35270,google
521,Lego Marvel Super Heroes,2013-09-30,Warner Bros,"Adventure, Hack and slash/Beat 'em up, Puzzle",3.8,18458,google
525,LearnEng,2016-11-25,,Strategy,5.0,43,google
526,Pythagorea,2015-01-01,,Puzzle,4.5,8414,google
528,Marble Jetpack,2017-01-02,,Adventure,4.9,11,google
531,Her Story,2015-06-24,,"Adventure, Indie, Point-and-click, Puzzle, Simulator",4.3,754,google
534,MazM: Jekyll and Hyde,2020-04-02,,"Adventure, Role-playing (RPG), Simulator, Strategy",4.5,44906,google
537,Addoku,2017-12-18,,Puzzle,5.0,22,google
539,Assassin's Creed: Rebellion,2018-11-21,Ubisoft,Simulator,4.3,340072,google
542,Bushido Bear,2016-02-26,,"Arcade, Indie",4.6,45486,google
543,Viperbyte,2015-01-01,,Arcade,4.4,7,google
544,Iron Maiden: Legacy of the Beast,2014-01-30,,"Adventure, Role-playing (RPG)",4.5,103913,google
551,Fait,2019-08-10,,"Adventure, Indie, Platform",3.7,98,google
552,Siralim 3,2018-10-15,,"Indie, Role-playing (RPG)",4.8,769,google
557,Aurcus Online,2016-05-29,,Role-playing (RPG),3.8,82448,google
566,Tales of Wind,2019-04-30,,"Hack and slash/Beat 'em up, Role-playing (RPG)",4.2,198663,google
578,Half-Life 2,2004-11-16,,Shooter,4.4,2352,google
587,Jewels Palace,2019-01-29,,Unknow,4.5,8735,google
592,Dragon Quest VI: Realms of Revelation,1995-12-09,Square Enix,"Role-playing (RPG), Sport",4.0,3999,google
593,Cytus II,2018-01-17,,"Arcade, Music",4.5,82389,google
603,Door Kickers,2014-10-20,,"Indie, Real Time Strategy (RTS), Simulator, Strategy, Tactical",4.5,12526,google
614,Guildmaster Story,2018-11-05,,"Indie, Puzzle",4.6,349,google
615,Elvenar,2015-04-08,,Simulator,4.3,96740,google
622,Azkend 2: The World Beneath,2012-03-06,,"Adventure, Indie, Puzzle",4.1,292,google
626,Last Hope - Tower Defense,2015-01-01,,"Adventure, Indie, Strategy",4.5,111821,google
642,Time Clickers,2015-03-20,,"Indie, Shooter, Strategy",4.5,13615,google
647,Reality Runner,2017-09-19,,"Arcade, Indie",4.3,6,google
650,911 Operator,2017-02-24,,"Indie, Simulator, Strategy",4.1,8434,google
653,Arcane Quest HD,2017-01-27,,"Role-playing (RPG), Turn-based strategy (TBS)",4.4,2284,google
655,Sky TD: Tower Defense Strategy Game,2018-11-01,,Strategy,4.7,1260,google
659,Hitman: Sniper,2015-06-02,Square Enix,"Shooter, Strategy",4.5,784304,google
664,Girls' Frontline,2016-05-20,,"Real Time Strategy (RTS), Shooter, Strategy",4.0,18206,google
667,Power Hover: Cruise,2017-08-10,,Unknow,4.1,5254,google
672,Latest Jump Cube Game,2019-04-01,,Arcade,4.9,75,google
692,Angry Birds Transformers,2014-09-25,,Racing,4.6,1834562,google
695,The Walking Dead: No Man's Land,2015-10-01,,"Role-playing (RPG), Strategy",4.5,754068,google
697,Total Party Kill,2019-07-03,,"Indie, Platform, Puzzle",4.4,11300,google
701,The 7th Guest,1993-01-01,,"Adventure, Point-and-click, Puzzle",4.1,859,google
704,Cat Quest,2017-08-08,,"Adventure, Indie, Role-playing (RPG)",4.7,5396,google
709,Tap Hero,2016-02-01,,"Arcade, Indie",4.4,14222,google
714,The Revenge of Shinobi,1989-12-02,Sega,"Hack and slash/Beat 'em up, Platform",4.0,6094,google
720,Geometry Dash SubZero,2017-12-21,,"Arcade, Music",4.4,485440,google
723,Impossible Road,2013-04-09,,"Arcade, Racing",4.4,4351,google
737,Hot Wheels Infinite Loop,2019-08-22,,"Racing, Sport",4.2,12253,google
742,Bitcoin Billionaire,2014-10-31,,Simulator,4.7,209788,google
743,Cthulhu Virtual Pet 2,2019-06-25,,"Indie, Simulator",4.0,6972,google
744,Little Mage,2019-01-28,,Arcade,3.4,129,google
756,Assassin's Creed Identity,2014-09-30,Ubisoft,"Adventure, Role-playing (RPG)",3.6,61917,google
758,Egypt Old Kingdom,2018-05-24,,"Indie, Simulator, Strategy, Turn-based strategy (TBS)",4.0,692,google
770,Escape Lala,2018-07-08,,"Adventure, Indie, Point-and-click",4.5,677,google
772,Agent A: A Puzzle In Disguise,2015-10-28,,"Adventure, Indie, Puzzle",4.8,41530,google
775,Sentinels of the Multiverse: The Video Game,2014-10-15,,"Indie, Strategy, Turn-based strategy (TBS)",4.5,1252,google
779,Liyla and the Shadows of War,2017-07-08,,Adventure,4.7,57755,google
787,twofold inc.,2016-01-28,,"Indie, Puzzle",4.5,346,google
790,Mines of Mars,2014-03-13,,"Indie, Role-playing (RPG)",4.2,41266,google
791,Proun+,2015-03-05,,Racing,4.6,19,google
799,The Slimeking's Tower,2017-07-01,,"Adventure, Indie, Role-playing (RPG)",3.9,7925,google
802,Amon Amarth,2017-11-20,,Arcade,4.6,1653,google
803,Bouncy Bob,2017-10-24,,"Arcade, Indie, Platform",4.6,13,google
